name,brand,ratingValue,ratingCount,gender_score,priceValue_score,timeOfDay_score,season_score,Woody & Earthy,Smoky & Leathery,Resinous & Balsamic,Citrus & Fresh,Green & Herbal,Warm & Spicy,Sweet & Gourmand,Floral,Powdery & Soft,Synthetic,Uncommon,notesBreakdown
Invictus Legend,Rabanne,4.11,1993.0,1.50404,0.06329,0.25598,0.1609,0.1273,0.0,0.56471,4.86987,0.48296,0.28902,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Grapefruit', 'Sea Salt', 'Sea Notes'], 'midnotes': ['Bay Leaf', 'Geranium', 'Spices'], 'bottomnotes': ['Guaiac Wood', 'Red Amber']}"
Invictus Aqua (2024),Rabanne,4.38,165.0,1.25714,-0.05,0.58696,0.21198,0.1283,0.0,0.40761,5.01594,0.38985,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Grapefruit'], 'midnotes': ['Sea Notes'], 'bottomnotes': ['Amberwood']}"
XS,Rabanne,4.04,2137.0,1.62406,0.38192,0.61765,0.16824,0.19522,0.0,0.0,0.36548,2.14745,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Mandarin Orange', 'Mint', 'Rosemary', 'Bergamot', 'Tarragon'], 'midnotes': ['Sage', 'Brazilian Rosewood', 'Bourbon Geranium', 'Coriander', 'Juniper'], 'bottomnotes': ['Cedar', 'Ambergris', 'Musk', 'Vanilla', 'Sandalwood', 'Oakmoss', 'Patchouli']}"
Narciso Rodriguez For Him Bleu Noir Eau De Toilette Extreme,Narciso Rodriguez,3.98,703.0,1.39043,0.12607,0.51842,0.1564,0.24408,0.0,0.0,2.12845,0.99151,0.0,0.0,0.0,1.40195,0.0,0.0,"{'topnotes': ['Green Mandarin', 'Basil', 'Ice', 'Citruses'], 'midnotes': ['Musk'], 'bottomnotes': ['Ebony', 'Cedar', 'Citruses']}"
Darley,Parfums de Marly,4.1,786.0,0.97093,-0.65049,0.24084,0.13779,0.22232,0.0,1.19752,0.37771,2.78107,1.88141,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Amalfi Lemon', 'Bergamot', 'Mint'], 'midnotes': ['Rose', 'Rosemary', 'Lavender', 'Cinnamon', 'African Orange Flower'], 'bottomnotes': ['Guaiac Wood', 'Amber', 'Tonka Bean', 'Sandalwood', 'Patchouli']}"
Nisean,Parfums de Marly,4.13,552.0,1.31579,-0.48889,-0.19742,0.2785,2.13251,0.0,1.35495,0.0,0.0,0.4514,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Grapefruit', 'Pink Pepper', 'Lime'], 'midnotes': ['Flowers', 'Geranium', 'Labdanum', 'Olibanum', 'Rose', 'Saffron'], 'bottomnotes': ['Precious Woods', 'Cedar', 'Patchouli Leaf', 'Amber']}"
Narciso Rodriguez For Him Eau de Parfum Intense,Narciso Rodriguez,4.26,1150.0,0.77492,0.27778,-0.25328,0.27127,0.74324,0.0,0.0,0.0,0.0,1.06883,0.0,3.3923,1.82545,0.0,0.0,"{'topnotes': ['Musk', 'Iris', 'Pink Pepper'], 'midnotes': [], 'bottomnotes': []}"
Narciso Rodriguez for Him,Narciso Rodriguez,4.1,4447.0,1.44051,0.35704,-0.21401,0.25555,2.62287,0.0,0.46701,5.29145,0.74356,0.35446,0.0,0.0,1.59839,0.0,0.0,"{'topnotes': ['Musk', 'Amber', 'Violet Leaf', 'Patchouli'], 'midnotes': [], 'bottomnotes': []}"
1 Million Intense,Rabanne,3.92,1069.0,1.0068,0.05833,-0.62376,0.30425,0.14167,1.09194,0.0,0.32056,0.0,2.39277,0.0,1.17298,0.0,0.0,0.0,"{'topnotes': ['Blood Mandarin', 'Saffron', 'Cardamom', 'Black Pepper'], 'midnotes': ['Rose', 'Neroli', 'Cinnamon'], 'bottomnotes': ['Orris Root', 'Leather', 'Sandalwood', 'Patchouli']}"
Invictus Aqua,Rabanne,4.14,1526.0,1.39147,-0.13478,0.69388,0.17443,0.15537,0.98668,0.63562,6.75694,1.11133,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Yuzu', 'Pink Pepper', 'Grapefruit'], 'midnotes': ['Violet Leaf', 'Sea water'], 'bottomnotes': ['Guaiac Wood', 'Amberwood', 'Ambergris']}"
