Fragrance Name,Link
Tonka Cola,https://www.fragrantica.com/perfume/Mancera/Tonka-Cola-76893.html
Sauvage Eau de Parfum,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-de-Parfum-48100.html
Light Blue Eau Intense Pour Homme,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-Pour-Homme-44035.html
1 Million,https://www.fragrantica.com/perfume/Rabanne/1-Million-3747.html
Blanche Bête,https://www.fragrantica.com/perfume/Les-Liquides-Imaginaires/Blanche-Bete-70189.html
Black Phantom,https://www.fragrantica.com/perfume/By-Kilian/Black-Phantom-43632.html
Oud Satin Mood,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html
CK One,https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-276.html
Oud Maracujá,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html
Greenley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Greenley-62101.html
Yum Pistachio Gelato | 33,https://www.fragrantica.com/perfume/Kayali-Fragrances/Yum-Pistachio-Gelato-33-79846.html
Wood Sage & Sea Salt,https://www.fragrantica.com/perfume/Jo-Malone-London/Wood-Sage-Sea-Salt-25529.html
Valentino Uomo Born In Roma Coral Fantasy,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Coral-Fantasy-71761.html
Nebras,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Nebras-78560.html
Megamare,https://www.fragrantica.com/perfume/Orto-Parisi/Megamare-53471.html
Another 13,https://www.fragrantica.com/perfume/Le-Labo/Another-13-10131.html
Dior Homme Parfum,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html
Acqua di Giò Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html
You,https://www.fragrantica.com/perfume/Glossier/You-46885.html
Bade'e Al Oud Oud for Glory,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Oud-for-Glory-64948.html
Herod,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html
Oajan,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oajan-21548.html
Baccarat Rouge 540 Extrait de Parfum,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-46066.html
Alexandria II,https://www.fragrantica.com/perfume/Xerjoff/Alexandria-II-17786.html
Vanilla Sex,https://www.fragrantica.com/perfume/Tom-Ford/Vanilla-Sex-88588.html
L'Eau d'Issey Pour Homme,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html
Valentino Uomo Born in Roma,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-in-Roma-55963.html
Invictus,https://www.fragrantica.com/perfume/Rabanne/Invictus-18471.html
Allure Homme Sport Eau Extreme,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Eau-Extreme-14669.html
Ombre Nomade,https://www.fragrantica.com/perfume/Louis-Vuitton/Ombre-Nomade-49755.html
Cool Water,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-507.html
Toy Boy,https://www.fragrantica.com/perfume/Moschino/Toy-Boy-55858.html
God of Fire,https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/God-of-Fire-72381.html
Bleu de Chanel Parfum,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Parfum-49912.html
Armani Code Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html
Black Afgano,https://www.fragrantica.com/perfume/Nasomatto/Black-Afgano-6472.html
Qaed Al Fursan,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaed-Al-Fursan-67996.html
Legend Spirit,https://www.fragrantica.com/perfume/Montblanc/Legend-Spirit-33443.html
L'Eau Papier,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-78658.html
Oud for Greatness,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html
Invictus Victory Elixir,https://www.fragrantica.com/perfume/Rabanne/Invictus-Victory-Elixir-78575.html
Pacific Chill,https://www.fragrantica.com/perfume/Louis-Vuitton/Pacific-Chill-81423.html
Scandal Pour Homme,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-68074.html
L’Homme Idéal Eau de Parfum,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html
Gentle Fluidity Gold,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html
Bleu de Chanel,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html
Mojave Ghost,https://www.fragrantica.com/perfume/Byredo/Mojave-Ghost-27040.html
Soleil Blanc,https://www.fragrantica.com/perfume/Tom-Ford/Soleil-Blanc-34893.html
Turathi Blue,https://www.fragrantica.com/perfume/Afnan/Turathi-Blue-70839.html
Sedley,https://www.fragrantica.com/perfume/Parfums-de-Marly/Sedley-56273.html
Gypsy Water,https://www.fragrantica.com/perfume/Byredo/Gypsy-Water-3575.html
Fahrenheit,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html
Fakhar Black,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Fakhar-Black-70465.html
Eros Eau de Parfum,https://www.fragrantica.com/perfume/Versace/Eros-Eau-de-Parfum-62762.html
